panicle,growth,yield
3.975,184.0,7.5
3.975,184.0,6.75
2.85,125.0,6.4275
4.5,147.5,7.2285
5.1,167.5,8.715
3.675,180.0,7.782
4.53,172.0,8.232
3.195,185.0,8.1675
4.5,170.0,8.72085
3.255,186.0,8.055
3.6,186.0,6.9975
4.5,175.0,9.5595
3.0,185.0,8.274
3.3,155.0,9.24855
3.75,156.0,7.5735
3.9,152.0,7.65
4.35,176.0,9.75
4.05,174.0,8.8035
4.95,180.0,8.58
3.45,150.0,9.0
4.2,152.0,7.95
3.3,186.0,7.6608
3.15,156.0,7.95
3.15,162.8,8.7345
4.575,172.5,7.8261
4.35,146.0,8.2466
4.65,140.0,9.2205
3.75,152.0,7.95
3.18,163.5,7.338
5.085,147.0,9.1095
3.96,170.0,7.527
3.09,152.5,6.75
4.5,151.0,9.168
4.155,130.0,7.1583
3.435,157.0,8.385
2.925,155.0,8.2965
3.6255,127.4,6.79575
3.3,153.0,9.0945
3.3,154.5,9.123
3.75,150.0,9.405
2.625,162.5,10.3173
3.0,150.5,8.931
3.0,155.0,9.477
3.45,153.5,9.1605
3.0,164.5,8.5638
3.0,169.0,6.465
2.85,156.0,9.21945
3.3,152.0,9.477
3.3,154.3,9.234
3.915,134.6,7.683
3.375,172.0,8.208
3.27,174.6,7.9395
4.875,153.0,9.6315
4.275,154.6,10.047
4.875,153.6,10.4325
3.3,148.0,9.8085
3.3,150.0,10.14975
3.0,132.0,6.75
3.0,152.0,9.95565
3.0,150.0,9.6657
3.45,153.0,9.8856
3.0,156.0,9.14745
2.85,158.0,7.0845
3.15,155.0,8.445
3.765,160.5,8.949
3.15,148.0,8.214
3.375,155.0,7.5
3.495,134.5,6.4311
3.555,124.7,6.48945
3.345,125.5,6.90105
3.15,156.0,10.119
3.0,156.0,10.113
3.27,152.0,8.9595
3.42,154.8,8.4315
3.495,158.0,8.4
3.315,158.0,8.736
3.09,151.5,8.232
3.75,167.5,7.798875
3.3,155.0,8.964
3.3,150.0,9.7725
3.6,156.0,9.52905
3.45,155.0,9.255
3.0,156.0,10.191
3.75,157.0,7.4235
3.3,159.0,8.9895
3.48,154.0,8.634
3.36,157.7,8.6025
3.465,136.5,7.383
3.435,151.8,8.3625
3.195,139.4,7.4325
3.51,149.0,9.345
2.985,157.3,8.4585
3.3,155.0,8.778
3.795,161.0,6.4935
3.6,130.2,7.3284
3.735,158.0,7.9665
3.0,155.0,8.661
2.7,162.0,9.1485
3.0,163.0,8.8545
3.45,155.0,8.391
4.26,164.0,9.327
4.65,190.0,10.2444
4.5,180.0,7.81125
3.285,159.0,8.9895
3.0,156.4,9.285
3.75,166.0,8.583
3.045,150.4,8.049
2.925,136.4,6.8145
3.135,137.5,6.6795
3.495,152.5,8.7225
3.045,156.0,8.673
3.3,150.0,8.13
3.0,152.0,8.79
3.0,152.0,8.478
2.85,163.0,8.361
2.85,163.0,8.895
3.3,158.0,9.048
4.05,156.4,9.417
3.945,125.2,7.0746
3.0,150.0,6.429
3.0,155.0,8.2005
4.725,185.0,8.7075
2.55,162.0,9.012
4.7205,174.0,10.6275
4.5915,172.0,10.581
3.0,152.0,8.445
2.85,151.0,8.502
3.45,155.0,9.075
3.3,154.0,8.7615
3.6,155.0,8.8965
2.85,158.0,8.8215
2.85,161.0,8.832
3.135,150.8,9.0405
3.315,161.0,9.1335
3.24,159.0,8.868
2.94,155.0,8.034
2.82,142.2,9.495
3.21,138.3,7.65
3.735,148.0,8.313
3.45,135.0,8.4405
3.78,141.0,8.751
3.015,146.0,8.4435
2.55,142.5,8.8212
3.3,155.0,8.2365
3.963,169.0,9.04125
3.369,169.0,8.5602
4.8,181.0,10.7715
4.26,180.0,10.3065
4.68,173.0,10.65
4.3455,174.0,10.761
4.11,177.0,9.552
4.4085,177.0,9.9975
4.7385,174.0,10.359
4.7595,174.0,9.9375
4.08,186.0,9.861
4.7475,175.0,10.6605
4.5,182.0,9.5685
4.6815,172.0,9.6675
2.8125,157.5,9.5205
3.03,159.0,9.5775
4.02,157.0,9.0885
2.955,159.0,9.8505
2.97,165.0,9.1245
2.73,151.0,8.781
3.3,150.0,7.5315
3.045,148.4,8.1255
3.255,156.5,8.1555
3.15,152.5,8.1885
