Supplementary Data Sheet 1 Trait values for the 7686 rice varieties studied.,,,,,,,,,,,,,
Varieties,Ecotype,Province of release,Year of release,Yield (t/ha),Growth period (d),Height (cm),Pannicle length (cm),Panicle number (million/ha),Seed setting rate (%),1000-grain-weight (g),Grains per panicle,Seed length/width ratio,Filled grain number
shan you 2 hao ,Indica hybrid,Guangdong,1978,6,141.5,92.1,NA,2.7975,81.4,28.05,131.9,NA,107.3666
qing dong ai ,Indica inbred,Guangdong,1978,6,125,93,NA,NA,NA,26.5,NA,NA,NA
hong mei zao ,Indica inbred,Guangdong,1978,5.25,115,90,NA,3.375,92.5,28.5,87.5,NA,80.9375
dong bai ai ,Indica inbred,Guangdong,1978,6,144,90,NA,NA,80,23,100,NA,80
he jiang 19 hao ,Japonica inbred,Heilongjiang,1978,6.4425,NA,85,14,NA,NA,26.5,NA,NA,NA
ke jie xuan 17,Indica inbred,Guangdong,1978,6,167.5,95,NA,NA,90,31,95,NA,85.5
zao guang 2 hao ,Indica inbred,Guangdong,1978,4.5,130,100,NA,NA,91.7,24,77.1,NA,70.7
guang jiu 6 hao ,Indica inbred,Guangdong,1978,6.75,124,92.5,NA,NA,80,25,118,NA,94.4
min ke zhan ,Indica inbred,Guangdong,1978,5.25,120,92.5,NA,3.375,87.5,19.5,NA,NA,NA
tie da nuo ,Indica inbred,Guangdong,1978,6,130,87.5,NA,3,90,28.5,87.5,NA,78.75
zhai ye qing 8 hao ,Indica inbred,Guangdong,1978,5.25,125,90,NA,NA,86,25.5,NA,NA,NA
nan zao 33 hao ,Indica inbred,Guangdong,1978,5.967,112,81.5,20,3.45,90.97,26,67.5,NA,61.40475
ke jie xuan 2 hao ,Indica inbred,Guangdong,1978,5.25,110,82.5,18.4,NA,87.4,28.2,44.5,NA,38.893
xin qing ai ,Indica inbred,Guangdong,1978,6,135,83.5,NA,4.6875,90,23.8,70,NA,63
qiu dong ai ,Indica inbred,Guangdong,1978,6,150,95,NA,NA,90,23.5,85,NA,76.5
feng feng zhan ,Indica inbred,Guangdong,1978,3.75,127.5,80,NA,4.5,87.5,19.5,65,NA,56.875
mu xin xuan ,Indica inbred,Guangdong,1978,3.75,115,75,NA,NA,90,20,80,NA,72
qiu bai zao 3 hao ,Indica inbred,Guangdong,1978,4.5,135,87.5,NA,3.375,90,25,NA,NA,NA
xin tie da ,Indica inbred,Guangdong,1978,6.75,132.5,87.5,NA,3.225,93,26.9,100,NA,93
tai zhen 92 hao ,Indica inbred,Guangdong,1978,6,142,89.7,20.7,3.75,80,25,85.3,NA,68.24
xiezuo69,Indica inbred,Guangdong,1978,6,138.5,95,NA,NA,85,29,NA,NA,86.5
ke guang 10 hao ,Indica inbred,Guangdong,1978,6,135,92.5,19.97,3.75,80,25.5,80,NA,64
gui c hao 2 hao ,Indica inbred,Guangdong,1978,6.34125,130,100,NA,NA,NA,NA,NA,NA,80
